Vendor,Last Audit,Website Link,Vendor Contact,Vendor Contact Email,API functionality for bookings,API included in system costs,API Reporting,Webhooks / Event Triggers,Authentication & Security,Sandbox / Test Environment,W3C standards,WCAG 2.2 level AA,Channel Managers,Current Connections,Marketplace,B2B agent portal,Creation and tracking of affiliate sales,Product information availability,Product Information management and updates,Back Office booking functionality,Customised schedule/availability,Specific Days/Dates bookable,Specific time slots bookable,Manual Slot Management,Seating plans/Allocated seating,Etickets & Scanning,Gift Vouchers,Upselling,Separate merchandise/online store/stock control,Integrated Payment Solution,Payment Solution,Flexible Donations,CRM,E-communications/marketing,Memberships,Verified Reviews,Rule-based Pricing,Resource Management,Waivers,Offline Functionality,Reporting,Reporting - Quantity and Revenue split by source,Reporting Sources,Quantiy and Revenue Reporting Segmentation,Custom Reporting,Custom Reporting Charges,GA4 Tracking,Google Tag Manager,Google Ads,System Licenses,License Cost,Customisation,Website Integration,Website Integration Type,Website Documentation,Onboarding timeframe,Continuing Support,SLA,Business Continuity/Disaster Recovery,Pricing Model,Cloud Infrastructure,Scalability,"Emerging Standards (OCTO, Open Booking Exchange)",Open Data / Extensibility,Culturehost Connection
Palisis - TourCMS,01.01.2025,https://www.palisis.com/,EDUARDO MARTI,eduard.marti@palisis.com,Yes,Yes,Yes,,,,Yes,Not Provided,Yes,"Get Your Guide, Tiqets, Musement, Viator, Other (please specify), Hotelbeds, Civitatis, Headout, Expedia, TOMAS / my.IRS GmbH, Flight Centre Travel Group, Isango, GL-Tours, Project Expedition, Tours4fun, I Need Tours, Klook,  Veltra, München Tourismus, Sightseeingo, KKday,  Hellotickets,   Ticmate ,Attraction World Group LTD, Day experience, BeMyGuest  ,Trip.com  ,Coras ,TourRadar, TourHub, Lovetovisit.com, Ticket Here,TourDesk,Taketours Inc. ,Distribusion Technologies , Jumbo Tours Group (Q4 2023), Ottila (Q1 20024)",No,Yes,Yes,"Accessibility, Expected Duration, Languages offered, Cancellation Policy, New option, No. of participants min/max., Venue location/Meeting point, What's included, Product Name, Product Description, Not suitable/restrictions",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,"Credit Cards
Debit Cards
Internet Banks (Paypal)
Wallets
Cash
Voucher
Promo Codes
Gift Cards
",No,No,Yes,No,No,,No,No,Yes,Yes,Yes,"OTA, Direct/Back Office, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Not Provided,Yes,No,No,No,Partially customisable,Yes,"Embedded lightframes, iframes, API","Very detailed documentation available for our suppliers 

",Depends on the solutions. 1 week to 10 weeks,"Helpdesk, Knowledgebase, Dedicated Account Manager, Printed/PDF support guides",Yes,Not Provided,Hybrid,Cloud,,,,
PatronBase UK Partners Limited,01.01.2025,https://www.patronbase.co.uk/,Emma Walters,emma@patronbase.co.uk,Yes,Yes,Yes,,,,Yes,Not Provided,No,,No,Yes,In Development,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes - Built In,No,Yes,No,,Yes,In Development,No,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,Yes,Yes,In Development,No,No,No,Partially customisable,Yes,"Embedded lightframes, iframes","The PatronBase CRM and ticketing system has an online sales module that enables customers to purchase tickets in real-time including pick your own seat (if opted). The web module is directly linked to the main database meaning that customers have the ability to access the same 
account information, amend and update it, as if they were contacting the venue directly and for organisations to manage their PatronBase events (and more) online themselves. 

The PatronBase Patron API allows external applications to hook into the patron database and allows them to register and validate patrons. ","For a standard implementation, with no bespoke development required, we recommend the initial implementation phase is planned out over 6-8 weeks.","Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Not Provided,Hybrid,Cloud,,,,
Prioticket,01.01.2025,https://prioticket.com,Ramon Vrieselaar,ramon@prioticket.com,Yes,Yes,Yes,,,,Yes,Not Provided,Yes,"Get Your Guide, Musement, Tiqets, Viator",Yes,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"We have our own payment platform on Adyen called Priopay. Adyen supports a comprehensive range of payment methods, enabling businesses to cater to diverse customer preferences globally. The supported payment options include:

Credit and Debit Cards: Major card networks such as Visa, Mastercard, American Express, Discover, Diners Club, JCB, and UnionPay.

Local Payment Methods: Region-specific options like Bancontact in Belgium, iDEAL in the Netherlands, and BLIK in Poland. 
ADYEN

Digital Wallets: Popular wallets including Apple Pay, Google Pay, Samsung Pay, and PayPal.

Bank Transfers: Direct debit and bank transfer services such as SEPA Direct Debit in Europe and ACH Direct Debit in the United States.

Buy Now, Pay Later (BNPL): Services like Klarna, Afterpay, and Zip, allowing customers to defer payments.

Cash-Based Methods: Options like Boleto in Brazil and OXXO in Mexico, enabling customers to pay with cash at local stores.

Mobile Payments: Methods such as Alipay, WeChat Pay, and GCash, popular in various regions.",Yes,Third Party Integration,No,Yes,No,,No,Yes,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc)",Yes,No,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party","API Documentation: Detailed guides on integrating with Prioticket's APIs are available at their Swagger documentation site.

Customer Knowledge Base: A repository of articles and guides covering various topics, including web integration and customization, is available at Prioticket's help center. 

Support Knowledgebase: For in-depth technical support, clients can refer to the API Support Knowledgebase hosted on Atlassian.",4-8 weeks depending on customizations,"Dedicated Account Manager, Helpdesk, Printed/PDF support guides, Knowledgebase",Yes,Yes,Fee per ticket/booking,Cloud,,,,
Recras,01.01.2025, https://recras.com,Hilko Kooistra,support@recras.nl,Yes,Yes,No,,,,No,Not Provided,No,,No,No,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What's included, What to bring/additional requirements",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,https://www.mollie.com/growth/payment-methods,No,Yes - Built In,No,Yes,No,In Development,Yes,In Development,No,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",In Development,No,Yes,Yes,In Development,Yes,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party",since it is integrated everything can be customized with CSS . For a full customized integration our API can be used. small customitations can be done in the backend of Recras (theme atc) ,from 2 days up to weeks,"Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Yes,Hybrid,Cloud,,,,
Retail Integration Ltd,01.01.2025,https://www.retail-int.com/,Paul Clarke,p.clarke@retail-int.com,Yes,Yes,In Development,,,,Yes,Yes,Yes,Redeam,Yes,Yes,Yes,"Expected Duration, No. of participants min/max., Product Description, Product Name",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"Our own fully Integrated payment solution Meridian Payments as well as providing Integrated payments with Elavon Opayo, AIB, Bank of Ireland, Planet Payments, Worldpay and Stripe.",Yes,Third Party Integration,No,Yes,No,,Yes,Third Party,Yes,Yes,Yes,"Direct/Back Office, OTA, Website, GA4 Website Revenue","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,Yes,No,Partially customisable,Yes,Navigate to 3rd Party,"Full onboarding pack provided, Image aids for customisation and payment integration instructions, ",6-8 weeks dependant on scale,"Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Yes,Hybrid,Cloud and Server,,,,
Rezgo,01.01.2025,https://www.rezgo.com,Stephanie Murphy,Stephanie.murphy@rezgo.com,Yes,Yes,Yes,,,,In development,Not Provided,Yes,"Get Your Guide, Viator, Musement, Tiqets, Project Expedition, DoDublin, Expedia, Klook",Yes,Yes,Yes,"Product Description, Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,In development,Yes,Yes,Yes,In Development,No,,Yes,Yes - Built In,No,Yes,Yes,Yes,Yes,Yes,In Development,Yes,Yes,"Direct/Back Office, OTA, Website, GA4 Website Revenue","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party, API",Support documentation ,Average 2 weeks,"Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Yes,Fee per ticket/booking,Cloud,,,,
ROLLER,01.01.2025,https://www.roller.software/,Pabel Sulman,pabel.sulman@rollerdigital.com,Yes,No,Yes,,,,Yes,Yes,In Development,,No,No,No,Product Name,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,"All major cards, Apple Pay, Google Pay, AMEX, PayPal, Clearpay, Alipay, CUP, Diners, Discover, JCB.",No,Yes - Built In,No,Yes,Yes,In Development,No,Yes,No,Yes,Yes,"Direct/Back Office, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date",Yes,Yes,Yes,Yes,Yes,No,No,Basic - brand colours and images,Yes,"Navigate to 3rd Party, Embedded lightframes, iframes","https://support.roller.software/hc/en-us/articles/5517737900687-Create-your-online-checkout
",4 weeks,"Dedicated Account Manager, Knowledgebase, Helpdesk",Yes,Yes,Annual Subscription,Cloud,,,,
SECUTIX,01.01.2025,https://secutix.com,Richard Hilton,richard.hilton@secutix.com,Yes,Yes,Yes,,,,Yes,Not Provided,Yes,"Tiqets, Viator, Get Your Guide",Yes,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Venue location/Meeting point, Sustainability, Product Name, Product Description, Not suitable/restrictions, No. of participants min/max., New option, Languages offered, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"SECUTIX delivers a full payment solution called SECUTIX Pay, which faciliates over 250 different payment options (Including all the major options)",Yes,Yes - Built In,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party, Widget",Our complete documentation is available online at platform.secutix.com,6-12 weeks,"Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Not Provided,Monthly Subscription,Cloud,,,,
SiEntries Ltd,01.01.2025,https://www.sientries.co.uk,Martin Stone,martin.stone@sportident.co.uk,No,No,No,,,,No,Not Provided,No,,No,Yes,Yes,"Cancellation Policy, Expected Duration, No. of participants min/max., Product Description, Product Name, Sustainability, Venue location/Meeting point, Not suitable/restrictions, What to bring/additional requirements, What's included, New option, Accessibility",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Mastercard, VISA, Apple Pay, Google Pay",Yes,Yes - Built In,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,"Website, Direct/Back Office","Booking Date, Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality, Product Category (General admission, Guided Tour etc)",Yes,No,Not Provided,No,No,No,No,Basic - brand colours and images,Yes,"Navigate to 3rd Party, ",Online context dependent help,One week,"Helpdesk, Dedicated Account Manager",No,Yes,Fee per ticket/booking,Cloud,,,,
Smeetz,01.01.2025,https://www.smeetz.com/,Nick Fenton,nick.fenton@smeetz.com,Yes,Yes,Yes,,,,Yes,Not Provided,Yes,"Get Your Guide, Tiqets, Viator, Musement, Love to Visit,",Yes,Yes,Yes,"No. of participants min/max., Product Description, Product Name, Venue location/Meeting point, What's included, Accessibility, Cancellation Policy",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Smeetz provides online payment through online booking, invoicing/quote generation payable by bank transfer or generated link. Smeetz provides onsite Point of sale systems as well as standalone Kiosk solutions.

All Major credit cards and Apple Pay etc are accepted",Yes,Yes - Built In,Yes,Yes,In Development,,No,Yes,Yes,Yes,Yes,"Direct/Back Office, Website, OTA, GA4 Website Revenue","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes etc., Navigate to 3rd Party",Smeetz provides training manuals and onboarding training for creating booking widgets within the back end system.,"Depends on the size of the client and the requirements. With 2/3 onboarding sessions for online and onsite training, Typically, Smeetz can be installed within a month however we have projects that are completed quicker and have been completed over a number of months.","Dedicated Account Manager, Helpdesk, Knowledgebase",Yes,Not Provided,Annual Subscription,Cloud,,,,
Spektrix,01.01.2025,https://spektrix.com,Mike Powell,mike.powell@spektrix.com,Yes,Yes,No,,,,No,Not Provided,Yes,"Get Your Guide, Ingresso",No,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, Product Description, Product Name, Venue location/Meeting point, What to bring/additional requirements, What's included",In Development,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,We include the payment gateway as part of our solution for all card and cash sales. Customers can also pay via Paypal.,Yes,Yes - Built In,No,Yes,No,,No,Yes,No,Yes,Yes,"GA4 Website Revenue, Website, Direct/Back Office, OTA","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party, API

",Free online access to all our integration resources. ,8-12 weeks,"Helpdesk, Knowledgebase",Yes,Not Provided,Annual Subscription,Cloud,,,,
Tessitura Network,01.01.2025,https://www.tessituranetwork.com,Rachael Easton,rachael.easton@tessituranetwork.com,Yes,Yes,Yes,,,,Yes,Not Provided,Yes,"Logitix, Redeam",No,No,Yes,"Accessibility, Expected Duration, Product Description, Product Name, Venue location/Meeting point",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Tessitura Merchant Services is powered by Adyen and is the payment provider that operates with Tessitura
Tessitura maintains the integration and delivers all support for the payment service",Yes,Yes - Built In,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,Yes,Yes,Yes,No,No,Yes,Partially customisable,Yes,Navigate to 3rd Party,"Tessitura E-commerce solution is fully documented

For those organisations deciding to scope and commission a custom transaction pathway any documentation would be the responsibility of the web developer",Tessitura Network scope each implementation based upon the complexity of the organisations needs. We typically look for implmentations to be 6-9 months.,"Helpdesk, Knowledgebase",Yes,Not Provided,Annual Subscription,Cloud,,,,
Ticket Tailor,01.01.2025,https://www.tickettailor.com,George Follett,george@tickettailor.com,Yes,Yes,Yes,,,,Yes,Not Provided,In Development,,No,No,Yes,Not suitable/restrictions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Credit/Debit card
Apple Pay
Google Pay
Stripe Link
Klarna
PayPal
PayPal Pay in 3",Yes,Third Party Integration,No,Yes,No,,No,Yes,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, Website","Booking Date, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date",Yes,No,Yes,Yes,Yes,No,No,Basic - brand colours and images,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party ","Colours, CTAs",1 week,"Helpdesk, Knowledgebase, Dedicated Account Manager",No,Not Provided,Fee per ticket/booking,Cloud,,,,
TicketingHub,01.01.2025,https://www.ticketinghub.com,Carl Pihl,carl@ticketinghub.com,Yes,Yes,Yes,,,,Yes,Yes,Yes,"Get Your Guide, Viator, TXGB, Project Exhibition, Lovetovisit",No,Yes,Yes,"No. of participants min/max., Product Name",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,No,Third Party Integration,No,No,Yes,Yes,Yes,Third Party,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Ticket Type (Adult, Child, etc), Product Category (General admission, Guided Tour etc), Visit Date",Yes,No,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party, Widget, API",We have a Helpdesk and team to help,From a few hours to a week,"Helpdesk, Dedicated Account Manager, Knowledgebase",Yes,Yes,Fee per ticket/booking,Cloud,,,,
Ticketmaster / Universe,01.01.2025,https://www.ticketmaster.ie%20www.universe.com/,Nuala Skeffington,nuala.skeffington@ticketmaster.ie,Yes,Yes,Yes,,,,In development,Not Provided,Yes,"Get Your Guide, Musement, Tiqets, Viator, Ingresso, Redeam",Yes,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Universe Payments / Stripe,Yes,Third Party Integration,No,Yes,No,,No,Yes,Yes,Yes,Yes,"Direct/Back Office, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,No,Yes,No,No,Partially customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party",Help Centre Guide & API docs available,depends on client - a 30 minute call may suffice.,,Yes,Yes,Fee per ticket/booking,Cloud,,,,
Ticketsolve,01.01.2025,https://www.ticketsolve.com/,Paul Fadden,pfadden@ticketsolve.com,Yes,Yes,No,,,,Yes,Not Provided,Yes,"Tiqets, Ingresso",No,No,Yes,"Accessibility, Cancellation Policy, Languages offered, Product Name, Sustainability",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Cash, Credit Card, Chip n Pin, Voucher, Cheque, Bank Transfer, Token, Member Reward",Yes,Yes - Built In,Yes,Yes,No,,Yes,Third Party,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,No,No,Basic - brand colours and images,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party",https://ticketsolve.zendesk.com/hc/en-us/articles/360057030432,2 weeks,"Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Not Provided,Fee per ticket/booking,Cloud,,,,
TOR Systems Ltd,01.01.2025,https://torsystems.co.uk,Becky McFarlane,bmcfarlane@torsystems.co.uk,Yes,Yes,Yes,,,,Yes,Not Provided,No,,In Development,In Development,Yes,"Accessibility, Cancellation Policy, Expected Duration, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, What's included, What to bring/additional requirements, Venue location/Meeting point",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Online is serviced by an iframe or redirect. walkup and back office are serviced by physical chip and pin devices which can be wired or wireless and back office can also use payment portal.,Yes,Yes - Built In,Yes,Yes,No,,Yes,No,No,Yes,Yes,"Direct/Back Office, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,No,No,No,Fully customisable,Yes,,Documentation/Training for customisation is currently in progress as we are still developing the new platform,8-12 weeks,"Helpdesk, Knowledgebase",Yes,Not Provided,Fee per ticket/booking,Cloud,,,,
Total Ticketing Limited,01.01.2025,https://www.totalticketing.com,Martin Haigh,martin.haigh@totalticketing.com,Yes,Yes,No,,,,Yes,Not Provided,Yes,Viator,No,Yes,Yes,"Cancellation Policy, Expected Duration, Languages offered, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,No,Third Party Integration,No,No,No,,No,Yes,No,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",No,Yes,Yes,Yes,Yes,No,No,Basic - brand colours and images,Yes,Navigate to 3rd Party,API documentation and customisation guidelines.,"2-4 weeks, unless significant customisation is required","Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Not Provided,Fee per ticket/booking,Cloud,,,,
TrekkSoft,01.01.2025,https://trekksoft.com,Andreas Föger,sales@trekksoft.com,Yes,Yes,Yes,,,,No,Not Provided,Yes,"Get Your Guide, Musement, Tiqets, Viator, Activbookings, Civitatis, Evendo, Expedia, Klook, Lovetovisit, Project Expedition, TXGB",Yes,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, No. of participants min/max., Product Description, Product Name, Venue location/Meeting point, What to bring/additional requirements, What's included, Sustainability, Not suitable/restrictions",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"Credit Cards, Twint, Apple pay, Direct Debit, iDeal, Google Pay, EPS, Alipay, Klarna, Cryptocurrencies and invoice",Yes,Third Party Integration,No,No,No,No,Yes,Third Party,No,Yes,Yes,"Direct/Back Office, OTA, GA4 Website Revenue, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date",No,N/A,Yes,No,No,No,No,Partially customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party",https://support.trekksoft.com/booking-widget-integration-types,2 Weeks,"Dedicated Account Manager, Helpdesk, Knowledgebase",No,Yes,Fee per ticket/booking,Cloud,,,,
TripAdmit,01.01.2025,https://tripadmit.com,John Maguire & Matias Machesich,john.maguire@tripadmit.com,Yes,Yes,No,,,,Yes,Not Provided,Yes,"Viator, Tiqets, Musement, Get Your Guide",No,No,No,"Cancellation Policy, Expected Duration, Languages offered, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included, Accessibility",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,In development,Yes,No,Yes,"We use Stripe, so over 100 different payment options are supported (if required).",Yes,Third Party Integration,No,No,Yes,,Yes,In Development,Yes,Yes,Yes,"GA4 Website Revenue, OTA, Direct/Back Office, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",No,N/A,Yes,Yes,Yes,No,No,Basic - brand colours and images,Yes,"Embedded lightframes, iframes",Full integration docs and access to Onboarding Team,Less than 2 days if the business has all the information prepared and ready.,"Helpdesk, Knowledgebase",No,Not Provided,Fee per ticket/booking,Cloud,,,,
Turitop,01.01.2025,https://www.turitop.com,Vincent Walshe,vincent@turitop.com,Yes,Yes,No,,,,No,Not Provided,Yes,"Get Your Guide, Musement, Tiqets, Viator, Civitatis",Yes,Yes,Yes,"Accessibility, Expected Duration, Languages offered, Product Description, Product Name, No. of participants min/max.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Currently major payment gateways supported with a strong preference for Stripe, however, as we are using Woocommerce, other payment gateways may be supported if Woocommerce Gateways are stable and performing",No,Yes - Built In,Yes,In Development,Yes,Yes,Yes,In Development,No,Yes,Yes,"Direct/Back Office, OTA, Website","Booking Date, Distribution Channel, Ticket Type (Adult, Child, etc), Product Category (General admission, Guided Tour etc), Visit Date, Visitor Nationality",Yes,Yes,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party",Full Support site,1 day but depends on number of products and product comlexity,"Helpdesk, Knowledgebase",No,No,Hybrid,Cloud,,,,
Vennersys,01.01.2025,https://vennersys.co.uk/,Stuart Ward,stuart.ward@vennersys.co.uk,Yes,No,In Development,,,,In development,Not Provided,Yes,"Get Your Guide, Viator, TXGB",No,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,Yes - Built In,Yes,Yes,No,Yes,Yes,In Development,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,Yes,Yes,Yes,No,No,No,Partially customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party, API
","""When using the API to build the journeys the customer has full control over customisation of the front end look and feel.

We also offer various web integrations for eCommerce like Shopify and WooCommerce.""

We have API documentation for building your own journey",2 to 8 weeks depending on requirements,"Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Yes,Fee per ticket/booking,Cloud,,,,
Ventrata,01.01.2025,https://www.ventrata.com,Holt Lau,holt@ventrata.com,Yes,Yes,Yes,,,,Yes,Yes,Yes,"Get Your Guide, Musement, Tiqets, Viator, Expedia, Klook, KKDay, Headout, Isango, Attraction World, Booking.com, Sightseeing Pass, City Sightseeing Worldwide, Civitatis, CityPass, City Experiences, Palisis, Anchor, Go City, Google Things to Do, Groupon, Holibob, SeeTickets, Tesco Clubcard, Trip.com, Visit Britain Shop, Vox City, TXGB.",Yes,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, No. of participants min/max., Not suitable/restrictions, New option, Product Description, Sustainability, Venue location/Meeting point, Product Name, What to bring/additional requirements",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Adyen is the integrated payment provider,Yes,Third Party Integration,Yes,In Development,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,No,No,Partially customisable,Yes,"Embedded lightframes, iframes, Widget
- Fully hosted website builder
- Integration with existing eComm engine","- Full knowledge base in https://support.ventrata.com
- 24/7 support provided to clients
- Connectivity information here: https://docs.ventrata.com/","This depends on the size and complexity of the business; a standard client would be between 3 - 8 weeks, whilst large enterprise projects would take much longer.","Dedicated Account Manager, Helpdesk, Knowledgebase",Yes,Yes,Annual Subscription,Cloud,,,,
